tframe,y,x,track_no
1,552,1038,1
2,552,1037,1
3,552,1030,1
4,552,1027,1
5,552,1025,1
6,552,1023,1
7,552,1008,1
8,552,1002,1
9,552,1001,1
10,551,992,1
11,551,986,1
14,858,1368,1
15,858,1361,1
16,858,1352,1
17,858,1347,1
18,858,1342,1
19,858,1336,1
20,858,1331,1
21,858,1324,1
22,858,1318,1
23,858,1306,1
24,858,1298,1
25,858,1290,1
26,858,1283,1
27,858,1273,1
28,858,1256,1
29,858,1249,1
30,858,1242,1
31,858,1234,1
32,858,1226,1
33,858,1218,1
34,858,1211,1
35,858,1202,1
36,858,1195,1
37,858,1192,1
38,858,1186,1
39,858,1178,1
40,858,1172,1
41,858,1168,1
42,858,1166,1
43,858,1165,1
44,858,1159,1
45,858,1156,1
46,858,1152,1
47,858,1148,1
48,858,1142,1
49,858,1135,1
50,858,1128,1
51,858,1124,1
52,858,1116,1
53,858,1110,1
54,858,1102,1
55,858,1095,1
56,858,1084,1
57,858,1076,1
58,858,1069,1
59,858,1063,1
60,858,1058,1
61,858,1053,1
62,858,1046,1
63,858,1041,1
64,858,1036,1
65,858,1028,1
66,857,1022,1
67,858,1018,1
68,858,1008,1
69,858,1000,1
70,858,998,1
71,858,989,1
72,858,980,1
73,858,973,1
74,858,965,1
75,858,958,1
76,858,951,1
77,858,948,1
78,858,947,1
79,858,943,1
80,858,934,1
81,858,932,1
82,858,926,1
83,858,915,1
84,858,910,1
85,858,908,1
88,1082,1365,1
89,1082,1355,1
90,1082,1349,1
91,1081,1345,1
92,1081,1336,1
93,1081,1329,1
94,1081,1319,1
95,1081,1314,1
96,1081,1308,1
97,1081,1303,1
98,1082,1297,1
99,1083,1287,1
100,1082,1281,1
101,1082,1275,1
102,1082,1272,1
103,1083,1269,1
104,1083,1265,1
105,1083,1261,1
106,1082,1257,1
107,1082,1252,1
108,1082,1249,1
109,1082,1246,1
110,1082,1242,1
111,1082,1241,1
112,1082,1237,1
113,1082,1233,1
114,1082,1228,1
115,1082,1225,1
116,1082,1219,1
117,1082,1215,1
118,1083,1212,1
119,1082,1207,1
120,1083,1203,1
121,1083,1196,1
122,1083,1193,1
123,1083,1187,1
124,1083,1185,1
125,1083,1185,1
126,1083,1184,1
127,1083,1186,1
128,1084,1184,1
129,1084,1183,1
130,1084,1184,1
131,1084,1184,1
132,1084,1185,1
133,1084,1185,1
134,1084,1184,1
135,1084,1184,1
136,1084,1183,1
137,1083,1184,1
138,1083,1185,1
139,1084,1186,1
140,1085,1185,1
141,1084,1185,1
142,1084,1184,1
143,1084,1184,1
144,1084,1196,1
145,1084,1199,1
146,1084,1194,1
147,1084,1192,1
148,1084,1195,1
149,1084,1193,1
150,1084,1188,1
151,1084,1185,1
152,1084,1184,1
153,1084,1184,1
154,1084,1184,1
155,1084,1185,1
156,1084,1184,1
157,1084,1184,1
158,1084,1183,1
159,1084,1183,1
160,1084,1183,1
161,1084,1183,1
162,1084,1182,1
163,1084,1183,1
164,1084,1185,1
165,1084,1185,1
166,1084,1184,1
167,1084,1184,1
168,1084,1184,1
169,1084,1184,1
170,1084,1185,1
171,1085,1185,1
172,1084,1185,1
173,1084,1184,1
174,1084,1183,1
175,1083,1185,1
176,1085,1184,1
177,1084,1184,1
178,1084,1184,1
179,1085,1184,1
180,1085,1184,1
181,1084,1189,1
182,1084,1187,1
183,1084,1185,1
184,1084,1184,1
185,1084,1182,1
186,1084,1182,1
187,1084,1183,1
188,1084,1184,1
189,1084,1184,1
190,1084,1184,1
191,1084,1184,1
192,1085,1186,1
193,1084,1185,1
194,1084,1184,1
195,1084,1184,1
196,1084,1184,1
197,1084,1184,1
198,1084,1186,1
199,1084,1185,1
200,1085,1184,1
201,1084,1184,1
202,1084,1184,1
203,1084,1184,1
204,1084,1184,1
