tframe,y,x,track_no
1,589,533,1
2,589,526,1
3,587,513,1
4,588,507,1
5,587,500,1
6,587,496,1
7,587,489,1
8,586,488,1
9,586,479,1
10,586,474,1
11,586,468,1
12,586,463,1
13,586,460,1
14,586,456,1
15,586,452,1
16,586,445,1
17,586,439,1
18,586,437,1
19,586,434,1
20,586,1027,1
21,585,1025,1
22,586,1021,1
23,586,720,1
24,585,714,1
25,587,712,1
26,586,711,1
27,585,703,1
28,585,702,1
29,586,699,1
30,586,696,1
31,586,690,1
32,587,685,1
33,586,683,1
34,586,683,1
35,586,679,1
36,586,672,1
37,585,665,1
38,585,665,1
39,586,665,1
40,586,663,1
41,586,663,1
42,587,661,1
43,586,657,1
44,585,653,1
45,585,649,1
46,585,645,1
47,585,644,1
48,586,639,1
49,585,635,1
50,585,633,1
51,585,629,1
52,585,629,1
53,584,629,1
54,584,624,1
55,585,619,1
56,585,618,1
57,585,613,1
58,585,609,1
59,585,603,1
60,585,600,1
61,585,596,1
62,585,595,1
63,585,589,1
64,584,589,1
65,585,587,1
66,584,583,1
67,585,579,1
68,585,576,1
69,584,571,1
70,584,569,1
71,584,565,1
72,584,563,1
73,584,561,1
74,584,553,1
75,583,551,1
76,583,546,1
77,584,544,1
78,584,542,1
79,584,537,1
80,584,533,1
81,584,529,1
82,584,527,1
83,584,522,1
84,584,517,1
85,584,515,1
86,585,519,1
87,584,519,1
88,584,517,1
89,584,507,1
90,585,509,1
91,584,503,1
92,584,496,1
93,585,496,1
94,585,497,1
95,585,498,1
96,585,497,1
97,585,496,1
98,585,497,1
99,584,497,1
100,584,507,1
101,583,506,1
102,583,506,1
103,583,511,1
104,583,509,1
105,583,505,1
106,583,498,1
107,583,505,1
108,584,1016,1
109,583,1031,1
110,583,1043,1
111,583,1048,1
112,583,1052,1
113,583,1061,1
114,583,1065,1
115,583,1072,1
116,583,1074,1
117,583,1079,1
118,583,1084,1
119,583,1087,1
120,583,1102,1
121,582,1107,1
122,582,1110,1
123,582,1116,1
124,583,1125,1
125,582,1120,1
126,582,1131,1
127,582,1136,1
128,583,1142,1
129,583,1148,1
130,583,1149,1
131,582,1158,1
132,583,1151,1
133,582,1152,1
134,582,1152,1
135,582,1165,1
136,582,1173,1
137,582,1176,1
138,582,1173,1
139,582,1173,1
140,582,1175,1
141,582,1177,1
142,582,1175,1
143,582,1177,1
144,582,1175,1
145,582,1175,1
146,582,1172,1
147,582,1168,1
148,582,1165,1
149,582,1164,1
150,582,1165,1
151,582,1165,1
152,582,1198,1
153,582,1191,1
154,582,1198,1
155,582,1195,1
156,582,1192,1
157,582,1198,1
158,582,1197,1
159,582,1195,1
160,582,1196,1
161,582,1186,1
162,582,1181,1
163,582,1179,1
164,583,1171,1
165,582,1170,1
168,1087,5,1
169,1086,586,1
173,1085,1209,1
174,1084,1212,1
175,1085,1214,1
176,1086,1221,1
177,1085,1227,1
178,1086,1227,1
179,1086,1213,1
180,1086,1207,1
181,1085,1198,1
183,1085,1177,1
184,1085,1164,1
185,1085,1161,1
186,1085,1152,1
187,1084,1150,1
188,1084,1139,1
189,1084,1133,1
190,1084,1125,1
191,1084,1114,1
192,1084,1107,1
193,1084,1096,1
194,1084,1097,1
195,1084,1097,1
196,1085,1097,1
197,1085,1097,1
198,1085,1097,1
199,1085,1099,1
200,1084,1097,1
201,1084,1097,1
202,1085,1097,1
203,1085,1097,1
204,1085,1098,1
205,1085,1103,1
206,1085,1113,1
207,1085,1113,1
208,1085,1114,1
209,1085,1113,1
211,1085,1081,1
212,1085,1077,1
213,1085,1068,1
214,1085,1064,1
215,1085,1060,1
1,450,675,2
2,450,675,2
3,450,672,2
4,450,666,2
5,450,657,2
6,450,651,2
7,450,653,2
8,450,649,2
9,450,647,2
10,450,642,2
11,450,638,2
12,450,637,2
13,449,633,2
14,449,628,2
15,449,625,2
16,449,622,2
17,449,619,2
