tframe,y,x,track_no
1,402,0,1
2,402,0,1
3,402,0,1
4,403,14,1
5,403,33,1
6,403,55,1
7,403,66,1
8,403,79,1
9,403,86,1
10,403,104,1
11,403,125,1
12,403,151,1
13,140,155,1
14,403,175,1
15,403,178,1
16,403,191,1
19,860,201,1
20,60,218,1
21,444,216,1
22,444,199,1
23,443,186,1
24,443,186,1
25,443,186,1
26,443,171,1
27,443,150,1
28,444,141,1
29,443,125,1
30,443,107,1
31,444,93,1
32,443,84,1
33,443,69,1
34,442,55,1
35,441,48,1
36,442,37,1
37,442,34,1
38,442,16,1
39,441,0,1
40,442,0,1
41,441,0,1
42,442,0,1
43,442,0,1
44,442,0,1
45,442,0,1
46,442,0,1
50,928,1366,1
51,928,1334,1
52,928,1316,1
53,928,1290,1
54,928,1270,1
55,928,1256,1
56,928,1247,1
57,928,1233,1
59,928,1220,1
60,928,1220,1
61,928,1218,1
62,928,1210,1
63,927,1197,1
64,928,1179,1
65,928,1170,1
66,928,1165,1
67,927,1140,1
68,927,1157,1
69,927,1140,1
70,927,1138,1
71,927,1139,1
72,927,1136,1
73,927,1143,1
74,927,1145,1
75,927,1121,1
76,927,1147,1
77,927,1146,1
78,927,1150,1
79,927,1146,1
80,927,1148,1
81,927,1147,1
82,928,1150,1
83,928,1148,1
84,927,1166,1
85,927,1175,1
86,927,1168,1
87,927,1176,1
88,927,1170,1
89,927,1169,1
90,927,1164,1
91,927,1169,1
92,927,1164,1
93,927,1161,1
94,928,1159,1
95,927,1161,1
97,927,1154,1
98,927,1146,1
99,927,1146,1
100,927,1143,1
101,927,1144,1
102,927,1140,1
103,927,1134,1
104,927,1138,1
105,927,1133,1
106,927,1130,1
107,927,1126,1
108,927,1128,1
109,927,1101,1
110,927,1101,1
111,927,1204,1
112,927,1210,1
113,927,1235,1
114,927,1241,1
115,927,1240,1
116,928,1248,1
117,928,1241,1
118,928,1247,1
119,928,1242,1
120,928,1248,1
121,928,1247,1
122,927,1246,1
123,927,1250,1
125,927,1249,1
126,927,1256,1
127,927,1257,1
128,927,1261,1
129,927,1262,1
